id;son_id;tag_id
7;5;5
11;9;9
13;10;5
14;11;11
16;1;11
17;2;11
18;2;13
19;3;11
21;5;11
22;6;11
25;9;11
26;10;11
28;12;11
29;12;13
30;13;17
31;13;11
32;14;11
33;14;13
34;15;18
35;15;19
36;10;20
37;16;11
38;16;13
39;17;11
40;17;13
41;18;11
42;18;13
43;19;11
44;19;13
45;20;11
46;20;19
47;20;5
48;21;11
49;21;20
52;24;22
54;23;11
55;25;19
56;25;5
57;26;19
58;26;20
60;27;20
61;28;24
62;28;5
63;28;23
64;29;11
65;29;20
66;30;11
67;30;19
68;30;20
69;31;11
70;31;20
71;31;13
72;32;11
73;32;20
74;32;13
75;33;11
76;33;20
78;34;11
79;34;13
80;35;11
81;35;5
83;36;19
84;36;20
86;37;18
87;38;26
88;38;27
89;27;28
90;39;5
91;39;23
92;40;17
93;41;18
94;41;29
95;42;18
96;42;30
97;43;18
98;43;11
99;43;31
100;44;11
101;44;20
102;45;32
103;45;17
104;46;33
105;46;27
106;47;24
107;47;33
108;47;20
109;48;34
110;48;11
111;48;13
112;49;18
113;49;35
114;50;20
115;50;5
116;50;23
117;51;18
118;51;19
119;51;5
120;52;11
121;52;13
122;53;11
123;54;17
124;54;20
125;54;13
126;55;11
127;56;11
128;56;20
129;56;36
130;57;11
131;57;20
132;58;18
133;58;37
134;59;17
135;59;31
136;60;19
137;60;38
138;61;17
139;61;37
140;61;38
141;62;11
142;63;11
143;64;22
144;65;11
146;66;13
149;66;39
150;68;13
151;69;40
152;70;36
153;71;24
154;71;27
155;71;38
156;72;18
157;72;20
158;73;18
159;73;20
160;74;11
161;74;20
162;74;5
163;75;9
164;75;13
165;75;17
166;76;11
167;76;20
168;76;13
169;77;20
170;77;37
171;78;11
172;79;19
173;79;20
174;80;18
175;80;19
176;81;32
177;81;17
178;80;20
179;82;17
180;82;11
181;83;18
182;83;34
183;83;31
184;84;37
185;84;38
186;85;17
187;85;13
188;86;11
189;86;13
190;87;11
191;87;19
192;88;5
193;88;23
194;89;11
195;89;20
196;89;36
197;90;11
198;90;20
199;90;13
200;91;27
201;91;31
202;92;11
203;92;27
204;93;41
205;93;13
206;94;11
207;94;27
208;94;29
209;95;18
210;95;19
211;95;37
212;98;18
213;98;36
214;98;42
215;99;11
216;99;13
217;100;18
218;100;19
219;101;11
220;101;19
221;101;20
222;102;11
223;102;13
224;103;9
225;103;17
226;103;31
227;104;18
228;104;19
229;105;11
230;105;19
231;106;34
232;106;11
233;106;20
234;107;11
235;107;19
236;108;26
237;108;38
238;109;20
239;109;13
240;110;18
241;110;27
242;111;19
243;111;43
244;112;18
245;112;36
246;113;17
247;113;11
248;114;18
249;114;11
250;115;17
251;115;37
252;116;17
253;116;13
254;117;17
255;117;31
256;118;18
257;118;19
258;119;41
259;119;11
260;120;11
261;120;27
262;121;13
263;121;38
264;121;31
265;122;11
266;122;31
267;123;11
268;123;13
269;124;11
270;125;20
271;125;38
272;126;11
273;126;27
274;126;13
275;127;11
276;127;13
277;128;11
278;128;13
279;129;28
280;130;13
281;131;22
282;132;33
283;132;13
284;133;18
285;133;19
286;134;17
287;134;33
288;135;35
289;136;38
290;137;11
291;137;13
292;138;11
293;139;13
294;139;38
295;140;11
296;140;22
297;141;44
298;142;11
299;143;17
300;143;33
301;144;5
302;144;38
303;145;45
304;146;27
305;146;46
306;147;17
307;147;11
308;148;32
309;148;17
310;149;17
311;149;31
312;149;33
313;150;38
314;151;9
315;151;18
316;152;32
317;152;11
318;153;17
319;153;37
320;153;31
321;154;13
322;154;45
323;155;33
324;155;18
325;156;18
326;156;19
327;157;33
328;157;47
329;157;20
330;158;17
331;158;13
332;159;11
333;159;13
334;160;9
335;160;37
336;161;17
337;161;27
338;162;17
339;162;11
340;163;17
341;163;47
342;164;48
343;164;36
344;165;11
345;166;32
346;166;9
347;166;47
348;167;11
349;167;13
350;168;9
351;168;18
352;168;37
353;169;17
354;169;27
355;170;24
356;170;37
357;170;31
358;171;9
359;171;18
360;172;11
361;173;49
362;173;38
363;174;9
364;174;18
365;174;17
366;175;48
367;175;36
368;175;31
369;176;33
370;176;5
371;177;37
372;177;23
373;178;42
374;178;19
375;179;50
376;180;17
377;180;18
378;180;37
379;181;19
380;181;18
381;181;51
382;182;17
383;182;27
384;182;36
385;183;40
386;183;22
387;184;17
388;184;11
389;185;11
390;185;22
